Molecule,Lowest_Energy,Unique_Structures,Total_Running_Time,Average_Running_Time
c4,11.66653,4,273,68.25
c5,,1,261,261.0
c5n,14.3883,7,459,65.57142857142857
c6,,3,472,157.33333333333334
c6n,16.92423,22,645,29.318181818181817
c7,,1,623,623.0
c7c,12.17231,37,818,22.10810810810811
c7n,19.54735,58,875,15.086206896551724
c8,,1,1029,1029.0
c8a,16.60147,37,916,24.756756756756758
c8s,15.88871,25,801,32.04
c8si,15.88881,25,830,33.2
c9,37.33088,12,846,70.5
c9n,24.77665,512,1617,3.158203125
c9s,18.72797,115,1169,10.165217391304347
c10n,27.39635,1373,2437,1.7749453750910416
c12p,,2,1194,597.0
c12p0,,,0,
c12p1,,,0,
c15,17.24945,1681,4030,2.39738251041047
c15helix,,,0,
c15a,15.75726,1757,4108,2.338076266363119
c15b,16.53844,1648,3977,2.4132281553398056
c15c,16.8726,1829,4002,2.1880809185347183
c15d,16.41529,1897,3955,2.084870848708487
c15e,15.21773,1526,4449,2.915465268676278
c15f,15.45176,1644,4116,2.5036496350364965
c15g,16.45271,1779,4282,2.4069702079820123
c16,28.31623,5026,5595,1.1132113012335854
c17,123.9503,1553,4235,2.7269800386349003
c17a,486.3101,2,1449,724.5
c17l,44.46072,5177,7731,1.4933359088275062
c18,8.791687,3758,6038,1.6067056945183609
c18n,46.21986,4763,8965,1.882217090069284
c19,58.42266,3061,5525,1.804965697484482
c20n,,472,,
