Molecule,Lowest_Energy,Unique_Structures,Total_Running_Time,Average_Running_Time
c4,11.66653,3,186,62.0
c5,,1,262,262.0
c5n,14.3883,7,348,49.714285714285715
c6,,3,319,106.33333333333333
c6n,16.92423,22,537,24.40909090909091
c7,,1,416,416.0
c7c,12.17231,37,649,17.54054054054054
c7n,19.54735,58,792,13.655172413793103
c8,,1,702,702.0
c8a,16.60147,37,813,21.972972972972972
c8s,15.88871,25,755,30.2
c8si,15.88881,25,696,27.84
c9,37.33088,12,698,58.166666666666664
c9n,24.77665,513,1436,2.7992202729044835
c9s,18.72797,115,987,8.582608695652175
c10n,27.39635,1405,2267,1.6135231316725978
c12p,,2,1008,504.0
c12p0,,,0,
c12p1,,,0,
c15,17.24933,1790,3735,2.0865921787709496
c15helix,,,0,
c15a,15.7573,1814,3780,2.0837927232635063
c15b,16.53851,1756,3635,2.0700455580865604
c15c,16.87307,1877,3750,1.9978689397975493
c15d,16.41526,1994,3625,1.8179538615847544
c15e,15.21778,1641,3762,2.292504570383912
c15f,15.45174,1742,3987,2.288748564867968
c15g,16.45272,1910,3940,2.06282722513089
c16,28.31251,5196,5626,1.0827559661277906
c17,123.9503,1678,4347,2.5905840286054826
c17a,486.3101,2,1265,632.5
c17l,45.79781,5649,7990,1.414409630023013
c18,8.791736,3205,5337,1.665210608424337
c18n,48.31903,5371,9720,1.8097188605473842
c19,58.60184,2850,4734,1.6610526315789473
c20n,,2849,,
