Molecule,Lowest_Energy,Unique_Structures,Total_Running_Time,Average_Running_Time
c4,11.66653,3,71,23.666666666666668
c5,,1,5,5.0
c5n,14.3883,7,134,19.142857142857142
c6,,3,100,33.333333333333336
c6n,16.92423,22,187,8.5
c7,,1,128,128.0
c7c,12.17231,37,226,6.108108108108108
c7n,19.54735,58,288,4.9655172413793105
c8,,1,210,210.0
c8a,16.60147,37,294,7.945945945945946
c8s,15.88871,25,268,10.72
c8si,15.88881,25,260,10.4
c9,37.33088,11,273,24.818181818181817
c9n,24.77665,512,591,1.154296875
c9s,18.72797,115,382,3.3217391304347825
c10n,27.39635,1416,1192,0.8418079096045198
c12p,,2,389,194.5
c12p0,,,0,
c12p1,,,0,
c15,17.24937,1813,1313,0.7242140099282957
c15helix,,,0,
c15a,15.75725,1841,1302,0.7072243346007605
c15b,16.53871,1726,1275,0.738702201622248
c15c,16.87268,1859,1297,0.6976869284561592
c15d,16.41528,1948,1249,0.641170431211499
c15e,15.21777,1661,1299,0.7820590006020469
c15f,15.45178,1683,1224,0.7272727272727273
c15g,16.45274,1906,1284,0.6736621196222455
c16,29.04262,5409,2121,0.39212423738214086
c17,124.7658,1748,1466,0.8386727688787186
c17a,486.3101,2,499,249.5
c17l,46.86931,6208,3592,0.5786082474226805
c18,8.792366,2771,1945,0.7019126669072537
c18n,47.77332,5429,4766,0.8778780622582427
c19,58.4227,1969,1509,0.766378872524124
c20n,52.49009,4232,5270,1.2452741020793952
c21,7.716305,2089,2390,1.144088080421254
c26,88.94166,1270,1916,1.5086614173228345
