Molecule,Total_Running_Time,Total_Structures_Found,Molecular Name_2,Average_Running_Time
c4,2,3,c4,0.666666667
c5,1,0,c5,
c5n,4,9,c5n,0.444444444
c6,2,3,c6,0.666666667
c6n,12,25,c6n,0.48
c7,1,3,c7,0.333333333
c7c,14,25,c7c,0.56
c7n,37,71,c7n,0.521126761
c8,2,2,c8,1
c8a,12,25,c8a,0.48
c8s,12,25,c8s,0.48
c8si,15,25,c8si,0.6
c9,38,81,c9,0.469135802
c9n,192,553,c9n,0.347197107
c9s,34,65,c9s,0.523076923
c10n,1832,1540,c10n,1.18961039
c12p1,7,9,c12p1,0.777777778
c12p0,6,9,c12p0,0.666666667
c12p,6,9,c12p,0.666666667
c15,1066,2238,c15,0.476318141
c15a,1098,2244,c15a,0.489304813
c15b,1071,2210,c15b,0.484615385
c15c,1019,2160,c15c,0.471759259
c15d,1064,2193,c15d,0.485180119
c15e,1120,2323,c15e,0.48213517
c15f,1031,2145,c15f,0.480652681
c15g,1082,2283,c15g,0.473937801
c15helix,1430,2702,c15helix,0.529237602
