Molecule,Lowest_Energy,Unique_Structures,Total_Running_Time,Average_Running_Time
c4,12.91301,3,267,89
c5,17.97655,1,358,358
c5n,17.33192,7,558,79.71428571
c6,34.2433,3,502,167.3333333
c6n,21.7422,20,881,44.05
c7,48.67381,1,686,686
c7c,36.0802,33,1121,33.96969697
c7n,26.15238,52,1362,26.19230769
c8,68.05039,1,882,882
c8a,54.4589,35,1149,32.82857143
c8s,54.38928,23,1096,47.65217391
c8si,54.38928,23,1095,47.60869565
c9,73.05641,11,1178,107.0909091
c9n,34.97218,366,2284,6.240437158
c9s,58.94495,96,1685,17.55208333
c10n,39.38205,888,3278,3.691441441
c12p,123.429,2,1622,811
c12p0,,,0,
c12p1,,,0,
c15,103.4033,1293,6500,5.027068832
c15helix,,,0,
c15a,102.8114,1315,6476,4.924714829
c15b,102.9052,1316,6598,5.013677812
c15c,102.958,1329,6709,5.048156509
c15d,103.3044,1467,6519,4.443762781
c15e,102.4198,1139,5941,5.215978929
c15f,103.1595,1508,5241,3.475464191
c15g,103.348,1394,5561,3.989239598
c16,86.8437,3946,6774,1.716675114
c17,193.2086,1356,5987,4.41519174
c17a,505.1921,2,1792,896
c17l,,1767,,
