Molecule,Lowest_Energy,Unique_Structures,Total_Running_Time,Average_Running_Time
c5,17.97655,1,0,
c5n,17.33192,7,187,26.714285714285715
c6,34.2433,3,134,44.666666666666664
c6n,21.7422,20,284,14.2
c7,48.67381,1,201,201.0
c7c,36.0802,33,360,10.909090909090908
c7n,26.15238,52,452,8.692307692307692
c8,68.05039,1,248,248.0
c8a,54.4589,35,444,12.685714285714285
c8s,54.38928,23,417,18.130434782608695
c8si,54.38928,23,429,18.652173913043477
c9,73.05641,10,466,46.6
c9n,34.97218,366,922,2.519125683060109
c9s,58.94495,96,652,6.791666666666667
c10n,39.38205,889,1376,1.547806524184477
c12p,123.429,2,550,275.0
c12p0,,,0,
c12p1,,,0,
c15,103.4033,1280,2184,1.70625
c15helix,,,0,
c15a,102.8115,1295,2173,1.677992277992278
c15b,102.9051,1283,2158,1.681995323460639
c15c,102.9585,1323,2091,1.5804988662131518
c15d,103.3044,1476,2158,1.462059620596206
c15e,102.4199,1151,2197,1.9087749782797567
c15f,103.1596,1510,2133,1.4125827814569536
c15g,103.3481,1360,2200,1.6176470588235294
c16,87.17191,3731,2874,0.7703028678638435
c17,193.5972,1412,2577,1.825070821529745
c17a,505.1921,2,790,395.0
c17l,73.89461,3459,4480,1.2951720150332466
c18,121.1312,1897,3313,1.746441750131787
c18n,78.1679,2604,5828,2.238095238095238
c19,144.3909,1704,2639,1.5487089201877935
c20n,90.63103,2950,6453,2.187457627118644
c21,142.9788,1478,3414,2.3098782138024356
c26,213.6142,1122,2637,2.3502673796791442
