Molecule,Lowest_Energy,Unique_Structures,Total_Running_Time,Average_Running_Time
c4,12.91301,3,0,
c5,17.97655,1,0,
c5n,17.33192,8,118,14.75
c6,34.2433,3,2,0.6666666666666666
c6n,21.7422,20,379,18.95
c7,48.67381,1,1,1.0
c7c,36.0802,33,483,14.636363636363637
c7n,26.15238,52,552,10.615384615384615
c8,68.05039,1,1,1.0
c8a,54.4589,35,609,17.4
c8s,54.38928,23,573,24.91304347826087
c8si,54.38928,24,594,24.75
c9,73.05641,12,578,48.166666666666664
c9n,34.97218,366,897,2.4508196721311477
c9s,58.94495,96,754,7.854166666666667
c10n,39.38205,891,1309,1.4691358024691359
c12p,123.429,2,718,359.0
c12p0,,,0,
c12p1,,,1,
c15,103.4034,1407,2171,1.542999289267946
c15helix,,,0,
c15a,102.8115,1432,2112,1.4748603351955307
c15b,102.9052,1416,2077,1.4668079096045197
c15c,102.9583,1462,2189,1.4972640218878248
c15d,103.3044,1562,2132,1.3649167733674776
c15e,102.42,1292,2144,1.6594427244582044
c15f,103.159,1658,2130,1.284680337756333
c15g,103.3481,1530,2151,1.4058823529411764
c16,89.29806,2232,2424,1.086021505376344
c17,193.2086,1015,2126,2.0945812807881774
c17a,505.1921,2,918,459.0
c17l,77.34301,1934,3567,1.844364012409514
c18,121.1305,1541,3253,2.1109669046073978
c18n,90.6562,2482,4852,1.9548751007252216
c19,144.3916,1468,2972,2.024523160762943
c20n,104.2547,2034,5797,2.8500491642084564
c21,142.7564,1951,4209,2.157355202460277
c26,219.3725,934,3782,4.049250535331906
