Molecule,Lowest_Energy,Unique_Structures,Total_Running_Time,Average_Running_Time
c4,11.66653,3,7,2.3333333333333335
c5,,1,6,6.0
c5n,14.3883,8,84,10.5
c6,,3,7,2.3333333333333335
c6n,16.92423,22,243,11.045454545454545
c7,,2,6,3.0
c7c,12.17231,37,302,8.162162162162161
c7n,19.54735,58,343,5.913793103448276
c8,,1,6,6.0
c8a,16.60147,37,395,10.675675675675675
c8s,15.88871,25,353,14.12
c8si,15.88881,25,347,13.88
c9,37.33088,11,365,33.18181818181818
c9n,24.77665,513,620,1.2085769980506822
c9s,18.72797,115,455,3.9565217391304346
c10n,27.39635,1424,1248,0.8764044943820225
c12p,,2,523,261.5
c12p0,,,0,
c12p1,,,0,
c15,17.24938,1950,1337,0.6856410256410257
c15helix,,,0,
c15a,15.75732,1846,1270,0.6879739978331527
c15b,16.53854,1906,1259,0.6605456453305352
c15c,16.87272,1924,1277,0.6637214137214137
c15d,16.41526,1942,1228,0.6323377960865088
c15e,15.21782,1811,1264,0.6979569298729983
c15f,15.45174,1941,1285,0.6620298815043791
c15g,16.45271,2116,1344,0.6351606805293005
c16,29.94726,2523,1620,0.6420927467300832
c17,123.9503,982,1217,1.239307535641548
c17a,486.3101,2,640,320.0
c17l,47.84995,2391,2431,1.0167294019238813
c18,8.792274,1952,1829,0.9369877049180327
c18n,51.21925,2414,3400,1.408450704225352
c19,59.08479,1005,1641,1.6328358208955225
c20n,67.99269,2040,3744,1.8352941176470587
c21,7.712686,1219,2749,2.25512715340443
c26,88.04533,1405,2477,1.7629893238434164
