Molecule,Diamond_MacroModel,Diamond_RDKit,LMCS,MCLMCS,MCMM,SPMC
c10n,209,475,142,142,142,142
c12p,9,9,1,1,1,1
c12p0,9,9,1,1,1,1
c12p1,9,9,7,7,7,7
c15,135,131,172,171,167,174
c15a,141,143,164,163,159,165
c15b,111,106,152,151,147,152
c15c,115,115,160,160,156,160
c15d,150,151,178,179,178,177
c15e,126,125,141,141,139,141
c15f,115,115,176,172,174,177
c15g,158,155,180,180,175,185
c15helix,102,90,96,91,91,91
c16,1377,10,977,833,621,283
c17,429,42,259,258,283,197
c17l,76,881,572,337,245,256
c18,55,52,395,370,276,266
c18n,82,1029,622,342,140,529
c19,82,16,358,337,222,214
c21,127,89,285,270,185,223
c26,118,118,715,454,146,209
c4,3,3,3,3,3,3
c5,1,1,1,1,1,1
c5n,7,7,5,5,5,5
c6,3,3,3,3,3,3
c6n,17,21,12,12,12,12
c7,3,3,1,1,1,1
c7c,17,17,22,22,22,22
c7n,28,39,22,22,22,22
c8,3,3,1,1,1,1
c8a,18,17,20,20,20,20
c8s,17,19,12,12,12,12
c8si,17,19,12,12,12,12
c9,57,54,8,7,8,7
c9n,116,151,79,79,79,79
c9s,31,32,36,36,36,36
