Molecule,Average_Conformer_Generate_Time
c17a,0
c8s,0.000303949
c5,0.000384006
c17,0.000780032
c15f,0.000561527
c15e,0.00053422
c18n,0.000365293
c9,0.000250544
c12p1,0.001228666
c19,0.000574139
c9s,0.00031376
c15a,0.000544848
c7c,0.000246608
c18,0.00058789
c15,0.000535988
c7n,0.000219131
c8,0.000384298
c15c,0.000556779
c12p,0.001153794
c15helix,0.000525421
c21,0.000597962
c15b,0.000540326
c8si,0.000293263
c26,0.001364499
c17l,0.000370289
c5n,0.00017858
c15d,0.000546909
c6,0.000264534
c10n,0.000290823
c6n,0.00018425
c12p0,0.001221967
c4,0.000223728
c9n,0.000268112
c8a,0.000289904
c15g,0.000525488
c16,0.000446579
c7,0.000338308
c20n,0
