Molecule,Average_Conformer_Generate_Time
c4,5.6425
c5,18.15
c5n,3.717142857
c6,10.29
c6n,1.998
c7,22.37
c7c,1.137272727
c7n,0.755769231
c8,22.38
c8a,1.270571429
c8s,1.89
c8si,1.872608696
c9,3.609166667
c9n,0.262704918
c9s,0.482395833
c10n,0.362716895
c12p,30.85
c12p0,26.655
c12p1,7.834285714
c15,0.161471758
c15helix,0.290291422
c15a,0.170946792
c15b,0.177894315
c15c,0.17074883
c15d,0.148079057
c15e,0.137306306
c15f,0.14140411
c15g,0.134912281
c16,0.123017677
c17,0.17318218
c17a,54.58
c17l,0.206392801
c18,0.141546776
c18n,0.312892453
c19,0.152896664
c20n,0.334545959
c21,0.211044226
c26,0.162225398
